station_id,q_meas_max,n_meas,n_good,q_meas_max_good
01022500,7080.0,165,46,6560.0
01031500,37400.0,289,122,16100.0
01047000,50700.0,232,77,8730.0
01052500,7440.0,197,47,2670.0
01054200,19300.0,252,82,3800.0
01055000,11700.0,261,130,4040.0
01057000,9340.0,286,128,5500.0
01073000,758.0,275,161,758.0
01078000,8100.0,777,648,5070.0
01123000,1310.0,234,169,1260.0
01134500,2190.0,133,75,2190.0
01137500,10800.0,197,134,4080.0
01139000,5970.0,164,68,1600.0
01139800,694.0,179,99,145.0
01142500,1440.0,185,133,689.0
01144000,38800.0,178,117,28300.0
01162500,3000.0,176,93,764.0
01169000,14200.0,202,110,14200.0
01170100,4560.0,209,121,1490.0
01181000,26100.0,265,122,4280.0
01187300,10500.0,169,80,481.0
01195100,2600.0,179,109,181.0
01333000,3580.0,221,156,673.0
01350000,55200.0,990,103,8800.0
01350080,4680.0,215,77,942.0
01350140,2550.0,370,76,2550.0
01365000,6940.0,1185,175,6610.0
01411300,732.0,316,220,504.0
01413500,27100.0,996,187,8720.0
01414500,5380.0,1057,163,1060.0
01415000,5000.0,991,129,688.0
01423000,25400.0,686,148,3140.0
01434025,389.0,377,144,141.0
01435000,23400.0,732,167,4000.0
01439500,23400.0,790,396,2580.0
01440000,9550.0,294,175,1920.0
01440400,12900.0,487,382,2930.0
01451800,7100.0,409,198,534.0
01466500,22.2,432,341,22.2
01484100,167.0,547,406,117.0
01487000,2960.0,677,394,2960.0
01491000,5250.0,816,690,5250.0
01510000,7880.0,875,205,6220.0
01516500,5580.0,575,334,2200.0
01518862,5350.0,247,133,651.0
01532000,74000.0,708,440,8070.0
01539000,41200.0,690,512,5290.0
01542810,822.0,402,192,85.8
01543000,47800.0,801,486,10700.0
01543500,59800.0,648,405,16500.0
01544500,10900.0,676,475,2480.0
01545600,5370.0,418,220,579.0
01547700,1260.0,549,385,1080.0
01548500,52000.0,749,478,15800.0
01549500,5500.0,741,416,1590.0
01550000,32000.0,870,457,25900.0
01552000,55800.0,759,472,29800.0
01552500,3390.0,712,381,791.0
01557500,5040.0,678,333,1020.0
01567500,7100.0,515,341,2640.0
01568000,18200.0,708,355,17200.0
01580000,13600.0,743,578,5280.0
01583500,38000.0,712,624,2540.0
01586610,1880.0,263,226,1880.0
01591400,3310.0,257,222,1840.0
01594950,71.0,241,147,71.0
01596500,1560.0,616,369,905.0
01605500,44000.0,551,458,2470.0
